0.952,0.2,134.322,,33,26,,0.235291518
0.906,0.24,136.016,,32,25,,
0.838,0.242,121.837,,33,25,,
0.622,0.255,113.336,,32,24,,
0.644,0.271,112.41,,30,24,,
0.748,0.267,124.911,,28,24,,
0.647,0.257,113.746,,27,24,,
0.649,0.253,117.02,,26,24,,
0.742,0.234,99.441,,29,24,,
0.821,0.244,123.474,,33,25,,
0.597,0.22,92.609,,34,25,,
0.711,0.224,87.133,,30,24,,
0.718,0.258,122.483,,26,24,,
0.726,0.26,121.193,,29,24,,
0.792,0.262,132.608,,29,24,,
0.843,0.281,136.655,,34,25,,
0.874,0.257,131.487,,34,25,,
0.806,0.262,127.411,,32,26,,
0.567,0.259,110.37,,32,26,,
0.669,0.268,121.955,,34,26,,
0.666,0.267,120.022,,34,28,,
0.791,0.275,123.51,,31,26,,
0.864,0.28,136.238,,30,25,,
0.805,0.279,133.874,,32,26,,
0.69,0.271,124.012,,31,26,,
0.681,0.273,116.565,,32,25,,
0.717,0.274,125.104,,33,26,,
0.715,0.285,126.62,,35,26,,
0.787,0.279,132.409,,34,27,,
0.865,0.276,134.993,,34,28,,
